awardID,yearID,lgID,playerID,pointsWon,pointsMax,votesFirst
Cy Young Award,2017,AL,carraca01,43,210,0
Cy Young Award,2017,NL,degroja01,2,210,0
Cy Young Award,2017,NL,gonzagi01,18,210,0
Cy Young Award,2017,NL,greinza01,52,210,0
Cy Young Award,2017,NL,janseke01,22,210,0
Cy Young Award,2017,NL,kershcl01,126,210,3
Cy Young Award,2017,AL,kimbrcr01,27,210,0
Cy Young Award,2017,AL,klubeco01,204,210,28
Cy Young Award,2017,NL,nelsoji02,1,210,0
Cy Young Award,2017,NL,rayro02,6,210,0
Cy Young Award,2017,AL,salech01,126,210,2
Cy Young Award,2017,AL,santaer01,3,210,0
Cy Young Award,2017,NL,scherma01,201,210,27
Cy Young Award,2017,AL,severlu01,73,210,0
Cy Young Award,2017,NL,strasst01,81,210,0
Cy Young Award,2017,AL,stromma01,2,210,0
Cy Young Award,2017,AL,verlaju01,32,210,0
Cy Young Award,2017,NL,woodal02,1,210,0
Cy Young Award,2018,AL,bauertr01,13,210,0
Cy Young Award,2018,AL,colege01,26,210,0
Cy Young Award,2018,NL,corbipa01,23,210,0
Cy Young Award,2018,NL,degroja01,207,210,29
Cy Young Award,2018,AL,diazed04,4,210,0
Cy Young Award,2018,NL,foltymi01,3,210,0
Cy Young Award,2018,NL,freelky01,49,210,0
Cy Young Award,2018,NL,haderjo01,4,210,0
Cy Young Award,2018,AL,klubeco01,71,210,0
Cy Young Award,2018,NL,lestejo01,2,210,0
Cy Young Award,2018,NL,mikolmi01,13,210,0
Cy Young Award,2018,NL,nolaaa01,86,210,0
Cy Young Award,2018,AL,salech01,59,210,0
Cy Young Award,2018,NL,scherma01,123,210,1
Cy Young Award,2018,AL,severlu01,1,210,0
Cy Young Award,2018,AL,snellbl01,169,210,17
Cy Young Award,2018,AL,treinbl01,13,210,0
Cy Young Award,2018,AL,verlaju01,154,210,13
Cy Young Award,2019,AL,biebesh01,64,210,0
Cy Young Award,2019,NL,buehlwa01,2,210,0
Cy Young Award,2019,AL,colege01,159,210,13
Cy Young Award,2019,NL,corbipa01,1,210,0
Cy Young Award,2019,NL,degroja01,207,210,29
Cy Young Award,2019,NL,flaheja01,69,210,0
Cy Young Award,2019,AL,giolilu01,8,210,0
Cy Young Award,2019,NL,grayso01,4,210,0
Cy Young Award,2019,NL,kershcl01,3,210,0
Cy Young Award,2019,AL,lynnla01,18,210,0
Cy Young Award,2019,AL,minormi01,7,210,0
Cy Young Award,2019,AL,mortoch02,75,210,0
Cy Young Award,2019,AL,rodried05,8,210,0
Cy Young Award,2019,NL,ryuhy01,88,210,1
Cy Young Award,2019,NL,scherma01,72,210,0
Cy Young Award,2019,NL,sorokmi01,9,210,0
Cy Young Award,2019,NL,strasst01,53,210,0
Cy Young Award,2019,AL,verlaju01,171,210,17
Cy Young Award,2019,NL,yateski01,2,210,0
Cy Young Award,2020,AL,bassich01,10,210,0
Cy Young Award,2020,NL,bauertr01,201,210,27
Cy Young Award,2020,AL,biebesh01,210,210,30
Cy Young Award,2020,AL,bundydy01,5,210,0
Cy Young Award,2020,NL,burneco01,12,210,0
Cy Young Award,2020,AL,colege01,50,210,0
Cy Young Award,2020,NL,darviyu01,123,210,3
Cy Young Award,2020,NL,degroja01,89,210,0
Cy Young Award,2020,NL,friedma01,15,210,0
Cy Young Award,2020,NL,galleza01,2,210,0
Cy Young Award,2020,AL,giolilu01,18,210,0
Cy Young Award,2020,NL,hendrky01,2,210,0
Cy Young Award,2020,AL,hendrli01,5,210,0
Cy Young Award,2020,NL,kershcl01,2,210,0
Cy Young Award,2020,AL,keuchda01,46,210,0
Cy Young Award,2020,NL,lametdi01,57,210,0
