year,"last_name, first_name",avg_speed,pitch_type,pitch_type_name
2024,"Gore, MacKenzie",96,FF,4-Seam Fastball
2024,"Peralta, Freddy",94.3,FF,4-Seam Fastball
2024,"Rodón, Carlos",95.4,FF,4-Seam Fastball
2024,"Gausman, Kevin",94,FF,4-Seam Fastball
2024,"Greene, Hunter",97.6,FF,4-Seam Fastball
2024,"Heaney, Andrew",91.6,FF,4-Seam Fastball
2024,"Cease, Dylan",96.9,FF,4-Seam Fastball
2024,"Kikuchi, Yusei",95.5,FF,4-Seam Fastball
2024,"Cease, Dylan",87.7,SL,Slider
2024,"Burnes, Corbin",95.3,FC,Cutter
2024,"Imanaga, Shota",91.7,FF,4-Seam Fastball
2024,"Nelson, Ryne",95.2,FF,4-Seam Fastball
2024,"Sánchez, Cristopher",94.5,SI,Sinker
2024,"Ragans, Cole",95.4,FF,4-Seam Fastball
2024,"Gil, Luis",96.6,FF,4-Seam Fastball
2024,"Castillo, Luis",95.6,FF,4-Seam Fastball
2024,"Wheeler, Zack",95.3,FF,4-Seam Fastball
2024,"Crochet, Garrett",97.1,FF,4-Seam Fastball
2024,"Webb, Logan",92.6,SI,Sinker
2024,"Cortes, Nestor",92.1,FF,4-Seam Fastball
2024,"Abbott, Andrew",92.8,FF,4-Seam Fastball
2024,"Bibee, Tanner",94.6,FF,4-Seam Fastball
2024,"Singer, Brady",92.2,SI,Sinker
2024,"Steele, Justin",91.6,FF,4-Seam Fastball
2024,"Bassitt, Chris",92.5,SI,Sinker
2024,"López, Pablo",95,FF,4-Seam Fastball
2024,"Valdez, Framber",94.1,SI,Sinker
2024,"Singer, Brady",83,SL,Slider
2024,"Harrison, Kyle",92.6,FF,4-Seam Fastball
2024,"Morton, Charlie",81.5,CU,Curveball
2024,"Parker, Mitchell",92.5,FF,4-Seam Fastball
2024,"López, Reynaldo",95.5,FF,4-Seam Fastball
2024,"Gallen, Zac",93.7,FF,4-Seam Fastball
2024,"Pivetta, Nick",93.9,FF,4-Seam Fastball
2024,"Miller, Bryce",95.2,FF,4-Seam Fastball
2024,"Anderson, Tyler",89.5,FF,4-Seam Fastball
2024,"Irvin, Jake",93.9,FF,4-Seam Fastball
2024,"Sale, Chris",78.6,SL,Slider
2024,"Flaherty, Jack",93.3,FF,4-Seam Fastball
2024,"Houck, Tanner",83.2,ST,Sweeper
2024,"Suárez, Albert",94.8,FF,4-Seam Fastball
2024,"Bello, Brayan",95.7,SI,Sinker
2024,"Pepiot, Ryan",94.9,FF,4-Seam Fastball
2024,"Anderson, Tyler",78.9,CH,Changeup
2024,"Sale, Chris",94.8,FF,4-Seam Fastball
2024,"Canning, Griffin",93.4,FF,4-Seam Fastball
2024,"Gomber, Austin",90.4,FF,4-Seam Fastball
2024,"Blanco, Ronel",93.4,FF,4-Seam Fastball
2024,"Nola, Aaron",79.1,CU,Curveball
2024,"Estes, Joey",92.4,FF,4-Seam Fastball
2024,"Flexen, Chris",91.3,FF,4-Seam Fastball
2024,"Sears, JP",91.9,FF,4-Seam Fastball
2024,"Severino, Luis",96.2,FF,4-Seam Fastball
2024,"Corbin, Patrick",91.5,SI,Sinker
2024,"Ober, Bailey",91.7,FF,4-Seam Fastball
2024,"Ryan, Joe",94,FF,4-Seam Fastball
2024,"Arrighetti, Spencer",94.1,FF,4-Seam Fastball
2024,"Hicks, Jordan",94.5,SI,Sinker
2024,"Kirby, George",96,FF,4-Seam Fastball
2024,"Brown, Hunter",96,FF,4-Seam Fastball
2024,"Falter, Bailey",91.9,FF,4-Seam Fastball
2024,"Sánchez, Cristopher",85.1,CH,Changeup
2024,"Webb, Logan",87.4,CH,Changeup
2024,"Corbin, Patrick",80,SL,Slider
2024,"Spence, Mitch",90.7,FC,Cutter
2024,"Eovaldi, Nathan",95.4,FF,4-Seam Fastball
2024,"Pallante, Andre",94.5,FF,4-Seam Fastball
2024,"Berríos, José",93.4,SI,Sinker
2024,"Gilbert, Logan",88.4,SL,Slider
2024,"Lynn, Lance",92.3,FF,4-Seam Fastball
2024,"Gausman, Kevin",86,FS,Split-Finger
2024,"Bradley, Taj",96.4,FF,4-Seam Fastball
2024,"Crawford, Kutter",92.6,FF,4-Seam Fastball
2024,"Irvin, Jake",81.1,CU,Curveball
2024,"Quantrill, Cal",93.9,FF,4-Seam Fastball
2024,"Jones, Jared",97.3,FF,4-Seam Fastball
2024,"Skubal, Tarik",96.9,FF,4-Seam Fastball
2024,"Stroman, Marcus",90,SI,Sinker
