playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
abbotan01,2024,1,CIN,NL,10,10,25,25,0,0,0,414,127,57,25,52,114,0.24,3.72,1,5,2,0,586,0,60,1,2,6
abreubr01,2024,1,HOU,AL,3,3,78,0,0,0,1,235,59,27,9,32,103,0.207,3.1,0,4,6,1,325,3,27,1,1,5
adamja01,2024,1,TBA,AL,4,2,47,0,0,0,4,141,26,13,4,16,50,0.164,2.49,3,0,3,0,180,9,17,0,2,3
adamja01,2024,2,SDN,NL,3,0,27,0,0,0,0,80,14,3,1,7,31,0.152,1.01,1,2,3,1,102,1,3,0,0,2
adamsau02,2024,1,OAK,AL,1,2,56,0,0,0,0,124,38,18,4,23,53,0.25,3.92,2,6,13,0,191,6,20,1,2,3
adcocty01,2024,1,NYN,NL,0,0,3,0,0,0,0,13,7,7,4,2,3,0.368,14.54,0,0,0,0,21,1,7,0,0,1
adonjo01,2024,1,WAS,NL,0,0,8,1,0,0,0,32,12,8,2,4,6,0.293,6.75,0,0,1,0,48,5,8,1,1,1
aguiaju01,2024,1,CIN,NL,2,1,7,7,0,0,0,95,30,22,8,12,19,0.244,6.25,1,1,5,0,140,0,22,0,0,4
akinke01,2024,1,s,AL,3,1,66,0,0,0,1,236,55,29,9,19,97,0.193,3.32,1,4,2,0,313,21,31,2,5,2
alcaljo01,2024,1,MIN,AL,4,3,54,0,0,0,0,175,40,21,8,20,58,0.19,3.24,1,4,3,0,235,5,23,0,1,1
aldegsa01,2024,1,LAA,AL,1,2,3,3,0,0,0,39,15,7,2,10,10,0.283,4.85,0,2,2,0,67,0,12,0,2,0
alexasc01,2024,1,OAK,AL,1,3,45,0,0,0,0,116,31,11,3,15,31,0.223,2.56,7,2,2,0,160,9,14,2,2,4
alexaty01,2024,1,TBA,AL,6,5,23,9,0,0,0,323,110,61,23,24,90,0.263,5.1,1,0,5,0,455,1,61,2,5,5
allarko01,2024,1,PHI,NL,2,0,7,4,0,0,0,81,34,15,5,8,23,0.312,5,0,0,0,0,117,0,15,0,0,4
allenlo01,2024,1,ARI,NL,0,1,12,0,0,0,1,84,32,17,3,10,21,0.281,5.46,0,0,2,0,128,4,17,0,2,0
allenlo02,2024,1,CLE,AL,8,5,20,20,0,0,0,292,113,62,22,41,79,0.295,5.73,0,4,4,0,432,0,63,1,3,14
almonye01,2024,1,CHN,NL,1,0,17,0,0,0,1,47,9,6,1,8,20,0.161,3.45,1,1,2,0,67,2,7,0,1,0
altavda01,2024,1,KCA,AL,0,1,5,1,0,0,0,11,5,6,1,3,5,0.294,14.73,0,0,1,0,21,0,6,0,0,0
alvared01,2024,1,NYN,NL,0,0,1,0,0,0,0,3,1,0,0,0,1,0.25,0,0,0,1,0,5,1,0,0,0,0
alvarjo03,2024,1,PHI,NL,2,5,66,0,0,0,13,185,49,28,6,28,63,0.215,4.09,1,4,1,0,258,21,30,0,1,5
alzolad01,2024,1,CHN,NL,1,4,18,0,0,0,4,52,19,9,6,6,13,0.279,4.67,0,0,1,0,75,11,13,0,0,1
anderch01,2024,1,BOS,AL,0,2,27,1,0,0,3,156,46,28,10,19,35,0.231,4.85,1,2,3,0,224,22,34,1,2,1
anderch01,2024,2,TEX,AL,0,0,2,0,0,0,0,19,9,7,2,2,7,0.321,9.95,0,1,1,0,31,1,7,0,0,0
andergr01,2024,1,TEX,AL,0,1,23,0,0,0,1,80,33,24,11,10,29,0.303,8.1,3,0,1,0,120,10,24,0,0,4
anderju01,2024,1,CHA,AL,1,2,56,0,0,0,1,160,48,26,5,32,57,0.234,4.39,1,1,3,0,242,14,29,1,1,3
anderni01,2024,1,KCA,AL,3,1,37,0,0,0,1,107,35,16,6,15,29,0.259,4.04,1,1,1,0,153,19,17,0,2,3
andersh01,2024,1,TEX,AL,0,0,2,0,0,0,0,10,6,2,0,1,3,0.375,5.4,0,0,0,0,17,1,2,0,0,0
andersh01,2024,2,MIA,NL,0,2,4,2,0,0,0,39,28,13,3,0,7,0.424,9,0,2,1,0,68,2,17,0,1,1
anderty01,2024,1,LAA,AL,10,15,31,31,0,0,0,538,158,76,24,73,142,0.232,3.81,2,3,7,1,765,0,83,0,4,6
andrecl02,2024,1,NYA,AL,0,0,1,0,0,0,0,1,1,1,1,0,1,0.5,27,0,0,1,0,3,0,1,0,0,0
andrima01,2024,1,MIA,NL,0,1,4,0,0,0,0,18,7,4,2,1,7,0.28,6,1,0,0,0,26,4,5,0,0,0
antonte01,2024,1,CIN,NL,0,0,4,0,0,0,0,6,2,1,0,4,2,0.286,4.5,0,0,0,0,11,2,2,0,0,0
armstsh01,2024,1,TBA,AL,2,2,38,7,0,0,1,140,56,28,5,19,50,0.292,5.4,0,1,2,1,214,4,30,0,1,2
armstsh01,2024,2,SLN,NL,1,0,11,0,0,0,0,38,11,4,1,2,12,0.234,2.84,0,0,0,0,49,3,4,0,0,0
armstsh01,2024,3,CHN,NL,0,1,8,0,0,0,0,22,10,4,0,4,4,0.37,4.91,0,0,0,0,32,2,4,1,0,3
arrigsp01,2024,1,HOU,AL,7,13,29,28,0,0,0,435,139,73,21,65,171,0.25,4.53,0,3,7,0,632,0,80,0,3,5
ashbyaa01,2024,1,MIL,NL,1,2,14,2,0,0,0,85,20,9,2,10,33,0.187,2.86,0,1,0,0,119,3,13,1,1,1
ashcrgr01,2024,1,CIN,NL,5,5,15,15,0,0,0,232,89,45,11,27,57,0.282,5.24,0,4,6,0,350,0,50,0,1,8
assadja01,2024,1,CHN,NL,7,6,29,29,0,0,0,441,143,61,20,63,124,0.254,3.73,0,5,5,0,638,0,64,3,4,10
avilani01,2024,1,SFN,NL,1,0,8,0,0,0,0,35,17,11,2,3,14,0.34,8.49,0,0,0,0,55,4,12,0,2,0
avilape01,2024,1,SDN,NL,1,0,4,0,0,0,0,24,5,8,1,6,9,0.192,9,0,3,1,0,35,2,8,1,1,1
avilape01,2024,2,CLE,AL,5,1,50,0,0,0,1,224,68,27,7,30,73,0.243,3.25,1,4,3,0,318,15,30,0,5,8
bachala01,2024,1,MIA,NL,0,1,10,0,0,0,0,28,10,4,2,4,11,0.278,3.86,0,0,0,0,40,0,5,0,0,2
bakerbr01,2024,1,BAL,AL,1,1,19,0,0,0,0,70,20,13,3,7,23,0.235,5.01,0,0,0,0,93,4,14,0,1,3
bandaan01,2024,1,LAN,NL,3,2,48,2,0,0,2,149,44,17,5,18,50,0.238,3.08,6,1,2,0,209,9,19,2,2,1
banksta01,2024,1,CHA,AL,2,2,41,1,0,0,2,144,47,22,5,15,55,0.257,4.13,2,0,2,0,205,8,30,1,4,3
banksta01,2024,2,PHI,NL,0,1,22,1,0,0,0,73,22,10,1,10,23,0.234,3.7,0,0,1,0,106,8,11,0,1,0
barlosc01,2024,1,CLE,AL,3,3,63,0,0,0,2,165,44,26,6,31,68,0.216,4.25,1,2,4,0,241,15,27,0,2,2
barneja01,2024,1,WAS,NL,8,3,63,0,0,0,0,198,67,32,10,20,55,0.266,4.36,2,3,0,0,277,5,36,0,5,12
barnema01,2024,1,WAS,NL,0,0,14,0,0,0,0,40,16,10,1,4,10,0.286,6.75,0,2,0,1,60,8,11,0,0,0
barnhtu01,2024,1,ARI,NL,0,0,1,0,0,0,0,3,4,2,1,0,0,0.571,18,0,0,0,0,7,1,2,0,0,0
bassich01,2024,1,TOR,AL,10,14,31,31,0,0,0,513,180,79,18,70,168,0.27,4.16,2,2,16,2,758,0,91,2,3,14
