year,"last_name, first_name",avg_speed,pitch_type,pitch_type_name,pitcher_break_z_induced,pitcher_break_x
2024,"Gore, MacKenzie",96,FF,4-Seam Fastball,17.6,5.9
2024,"Peralta, Freddy",94.3,FF,4-Seam Fastball,16.7,6.8
2024,"Rodón, Carlos",95.4,FF,4-Seam Fastball,17.8,8.8
2024,"Gausman, Kevin",94,FF,4-Seam Fastball,17,10.7
2024,"Greene, Hunter",97.6,FF,4-Seam Fastball,16.6,8.9
2024,"Heaney, Andrew",91.6,FF,4-Seam Fastball,13.8,15.7
2024,"Cease, Dylan",96.9,FF,4-Seam Fastball,18.4,2.5
2024,"Kikuchi, Yusei",95.5,FF,4-Seam Fastball,16.9,7.9
2024,"Cease, Dylan",87.7,SL,Slider,1.9,2.2
2024,"Burnes, Corbin",95.3,FC,Cutter,12.5,2.4
2024,"Imanaga, Shota",91.7,FF,4-Seam Fastball,18.3,10.2
2024,"Nelson, Ryne",95.2,FF,4-Seam Fastball,18.3,5.7
2024,"Sánchez, Cristopher",94.5,SI,Sinker,7.5,17.8
2024,"Ragans, Cole",95.4,FF,4-Seam Fastball,17.3,12.6
2024,"Gil, Luis",96.6,FF,4-Seam Fastball,17.2,5.6
2024,"Wheeler, Zack",95.3,FF,4-Seam Fastball,14.6,9.5
2024,"Castillo, Luis",95.6,FF,4-Seam Fastball,12.2,12.5
2024,"Crochet, Garrett",97.1,FF,4-Seam Fastball,15.6,8.1
2024,"Webb, Logan",92.6,SI,Sinker,1.1,15.1
2024,"Cortes, Nestor",92.1,FF,4-Seam Fastball,19.2,4.9
2024,"Abbott, Andrew",92.8,FF,4-Seam Fastball,16.3,8.9
2024,"Bibee, Tanner",94.6,FF,4-Seam Fastball,15.8,4.2
2024,"Singer, Brady",92.2,SI,Sinker,9.5,14.3
2024,"Steele, Justin",91.6,FF,4-Seam Fastball,13.2,0.3
2024,"Bassitt, Chris",92.5,SI,Sinker,8.1,16.5
2024,"López, Pablo",95,FF,4-Seam Fastball,14.5,5.6
2024,"Valdez, Framber",94.1,SI,Sinker,6.3,16.5
2024,"Singer, Brady",83,SL,Slider,-1,4.5
2024,"Harrison, Kyle",92.6,FF,4-Seam Fastball,10.8,14.7
2024,"Morton, Charlie",81.5,CU,Curveball,-8.9,13.6
2024,"Parker, Mitchell",92.5,FF,4-Seam Fastball,17.6,5.2
2024,"López, Reynaldo",95.5,FF,4-Seam Fastball,16.4,7.4
2024,"Gallen, Zac",93.7,FF,4-Seam Fastball,16.9,4.7
2024,"Pivetta, Nick",93.9,FF,4-Seam Fastball,19.9,4
2024,"Miller, Bryce",95.2,FF,4-Seam Fastball,18.3,6.3
2024,"Anderson, Tyler",89.5,FF,4-Seam Fastball,19.7,4.1
2024,"Irvin, Jake",93.9,FF,4-Seam Fastball,14.3,10.1
2024,"Flaherty, Jack",93.3,FF,4-Seam Fastball,15.4,4.2
2024,"Sale, Chris",78.6,SL,Slider,-4.7,11
2024,"Houck, Tanner",83.2,ST,Sweeper,-2,16.7
2024,"Suárez, Albert",94.8,FF,4-Seam Fastball,16.4,7
2024,"Bello, Brayan",95.7,SI,Sinker,4,17.2
2024,"Pepiot, Ryan",94.9,FF,4-Seam Fastball,19.4,8.8
2024,"Anderson, Tyler",78.9,CH,Changeup,12.4,12.5
2024,"Sale, Chris",94.8,FF,4-Seam Fastball,10.1,14.9
2024,"Canning, Griffin",93.4,FF,4-Seam Fastball,16.2,8.1
2024,"Gomber, Austin",90.4,FF,4-Seam Fastball,17,7.6
2024,"Blanco, Ronel",93.4,FF,4-Seam Fastball,18.5,7.3
2024,"Nola, Aaron",79.1,CU,Curveball,-9.9,14
2024,"Estes, Joey",92.4,FF,4-Seam Fastball,16.6,9.6
2024,"Flexen, Chris",91.3,FF,4-Seam Fastball,18.3,1.6
2024,"Sears, JP",91.9,FF,4-Seam Fastball,14.8,11.6
2024,"Corbin, Patrick",91.5,SI,Sinker,10.9,13.9
2024,"Severino, Luis",96.2,FF,4-Seam Fastball,15.7,6.5
2024,"Ober, Bailey",91.7,FF,4-Seam Fastball,16.8,7.9
2024,"Ryan, Joe",94,FF,4-Seam Fastball,13.9,11.8
2024,"Arrighetti, Spencer",94.1,FF,4-Seam Fastball,15.3,11.9
2024,"Hicks, Jordan",94.5,SI,Sinker,5.5,15.9
2024,"Kirby, George",96,FF,4-Seam Fastball,15.8,9.3
2024,"Brown, Hunter",96,FF,4-Seam Fastball,17.5,5.1
2024,"Falter, Bailey",91.9,FF,4-Seam Fastball,17.7,2.6
2024,"Sánchez, Cristopher",85.1,CH,Changeup,0.6,17.9
2024,"Webb, Logan",87.4,CH,Changeup,-4.8,9.8
2024,"Corbin, Patrick",80,SL,Slider,0.3,2.7
2024,"Spence, Mitch",90.7,FC,Cutter,5.7,3.8
2024,"Eovaldi, Nathan",95.4,FF,4-Seam Fastball,11.7,13.8
2024,"Pallante, Andre",94.5,FF,4-Seam Fastball,9.4,0
2024,"Berríos, José",93.4,SI,Sinker,11.1,15.8
2024,"Gilbert, Logan",88.4,SL,Slider,-0.1,1
2024,"Lynn, Lance",92.3,FF,4-Seam Fastball,13.1,4.1
2024,"Gausman, Kevin",86,FS,Split-Finger,6.3,15.9
2024,"Bradley, Taj",96.4,FF,4-Seam Fastball,18.7,5.7
2024,"Irvin, Jake",81.1,CU,Curveball,-3,12
2024,"Crawford, Kutter",92.6,FF,4-Seam Fastball,19.7,7.6
2024,"Quantrill, Cal",93.9,FF,4-Seam Fastball,13.9,10.5
2024,"Jones, Jared",97.3,FF,4-Seam Fastball,17.1,8.4
2024,"Skubal, Tarik",96.9,FF,4-Seam Fastball,16.2,6.5
2024,"Waldron, Matt",77.6,KN,Knuckleball,-3.4,5.6
2024,"Gilbert, Logan",96.6,FF,4-Seam Fastball,16.2,7.1
2024,"Stroman, Marcus",90,SI,Sinker,3.2,9.9
2024,"Fedde, Erick",89.9,FC,Cutter,7.1,2.8
2024,"Pfaadt, Brandon",93.8,FF,4-Seam Fastball,14.8,5.6
2024,"Manaea, Sean",92.2,FF,4-Seam Fastball,10.9,13.8
2024,"Paxton, James",93.2,FF,4-Seam Fastball,13.8,10.5
2024,"Feltner, Ryan",94.6,FF,4-Seam Fastball,13.4,5.3
2024,"Woods Richardson, Simeon",93.1,FF,4-Seam Fastball,17.5,5.8
2024,"Glasnow, Tyler",96.3,FF,4-Seam Fastball,16.3,0.3
2024,"Crawford, Kutter",87.5,FC,Cutter,8.6,5.1
2024,"Assad, Javier",91.4,SI,Sinker,11,13.6
2024,"Kopech, Michael",98.7,FF,4-Seam Fastball,18.2,9.7
2024,"Rodriguez, Grayson",96.1,FF,4-Seam Fastball,15.9,12.7
2024,"Fried, Max",93.9,FF,4-Seam Fastball,11.1,0.2
2024,"Greene, Hunter",86.8,SL,Slider,3.9,6.1
2024,"Nola, Aaron",92.5,FF,4-Seam Fastball,14.7,12
2024,"Fedde, Erick",93,SI,Sinker,9.3,9.1
2024,"Houck, Tanner",93.5,SI,Sinker,0.4,16
2024,"Myers, Tobias",92.9,FF,4-Seam Fastball,19.1,5
2024,"Montas, Frankie",95.6,FF,4-Seam Fastball,15.3,5.1
2024,"Civale, Aaron",88.1,FC,Cutter,7.6,3.8
2024,"Littell, Zack",86.6,SL,Slider,7.1,2.5
2024,"Keller, Mitch",94.4,FF,4-Seam Fastball,14.4,9.1
2024,"Herz, DJ",93.5,FF,4-Seam Fastball,15.9,12.4
